country1,country2,correlation_cf,n_obs
AT,BE,0.09493375551864099,87672
AT,BG,0.1285462757208346,87669
AT,CH,0.1787498299687387,87672
AT,CZ,0.5340356801795194,87667
AT,DE,0.25327397233517307,87672
AT,DK,0.1256089034410273,87668
AT,EE,0.06538688087827622,87362
AT,ES,0.13155904883289998,87649
AT,FI,0.061600837526936555,87617
AT,FR,0.16479298012722754,87653
AT,GB,0.08236322329587246,86378
AT,GR,0.055716724840982834,87636
AT,HR,0.1644100899688637,52608
AT,HU,0.8152129673858365,87648
AT,IE,0.07116910983251232,87227
AT,IT,0.3115835631455135,87622
AT,LT,0.14212489121498956,86719
AT,LU,0.1606865573107518,87496
AT,LV,0.07876066127716448,87511
AT,NL,0.10863339384643494,87672
AT,NO,0.0843968458390204,87667
AT,PL,0.3425220033795964,87672
AT,PT,0.06828601569528368,87672
AT,RO,0.16905422991313204,87550
AT,RS,0.22485839687034767,26304
AT,SE,0.08883650114217008,87575
AT,SI,,0
AT,SK,0.6405653042656754,8783
BE,BG,0.032642662575318136,87669
BE,CH,0.39311183455435095,87672
BE,CZ,0.3609215949889782,87667
BE,DE,0.6707212513799924,87672
BE,DK,0.34842914105333506,87668
BE,EE,0.16141063479128273,87362
BE,ES,0.13658596755120436,87649
BE,FI,0.1253670347641821,87617
BE,FR,0.7382149321661289,87653
BE,GB,0.6150498201637665,86378
BE,GR,-0.013993439101044612,87636
BE,HR,-0.0493404165082233,52608
BE,HU,0.08168802853773835,87648
BE,IE,0.3643853340209975,87227
BE,IT,0.11377982013063534,87622
BE,LT,0.20495149324004375,86719
BE,LU,0.6639785896309286,87496
BE,LV,0.18699333934058907,87511
BE,NL,0.7510152171537408,87672
BE,NO,0.2685789386898862,87667
BE,PL,0.3123307166871478,87672
BE,PT,0.10474358465397621,87672
BE,RO,0.04041688925756534,87550
BE,RS,0.010026683549649484,26304
BE,SE,0.18073134786204367,87575
BE,SI,,0
BE,SK,0.1202433121321888,8783
BG,CH,0.07180908958865397,87669
BG,CZ,0.11306661540875867,87664
BG,DE,0.06680035933348152,87669
BG,DK,0.05676579487325708,87665
BG,EE,0.07169402078986394,87359
BG,ES,0.09625948718729206,87646
BG,FI,0.09430909071703086,87614
BG,FR,0.07690657018280514,87650
BG,GB,0.10264828272087953,86375
BG,GR,0.32018560335044877,87633
BG,HR,0.27031272470526757,52606
BG,HU,0.13202533986633422,87645
BG,IE,0.07938590868782129,87224
BG,IT,0.2820651711569667,87619
BG,LT,0.052163246471157554,86716
BG,LU,0.03632617903644211,87493
BG,LV,0.024963390966654286,87508
BG,NL,0.015481054809029275,87669
BG,NO,0.1362228576724536,87664
BG,PL,0.09415700385762237,87669
BG,PT,0.07235459560453332,87669
BG,RO,0.7007971645481875,87547
BG,RS,0.09660623984056076,26303
BG,SE,0.12639431643104046,87572
BG,SI,,0
BG,SK,0.10798310984591063,8783
CH,CZ,0.3280973143871456,87667
CH,DE,0.4191685759796222,87672
CH,DK,0.17399279800141246,87668
CH,EE,0.11644362299287371,87362
CH,ES,0.2016336405947528,87649
CH,FI,0.06869545301355538,87617
CH,FR,0.5938439196694864,87653
CH,GB,0.22922802588155441,86378
CH,GR,0.026622553354052676,87636
CH,HR,0.021975128984675844,52608
CH,HU,0.13401138227497877,87648
CH,IE,0.14914569694144228,87227
CH,IT,0.22636879962141118,87622
CH,LT,0.16108942386330313,86719
CH,LU,0.4544418597660786,87496
CH,LV,0.18288185740450028,87511
CH,NL,0.4271830581083918,87672
CH,NO,0.1627142246664027,87667
CH,PL,0.26354086241229807,87672
CH,PT,0.15353553928176275,87672
CH,RO,0.08688448383325487,87550
CH,RS,0.07340465089337853,26304
CH,SE,0.06203233907515292,87575
CH,SI,,0
CH,SK,0.2083291507835455,8783
CZ,DE,0.6907344730350385,87667
CZ,DK,0.36607177856368167,87663
CZ,EE,0.21464023368626822,87357
CZ,ES,0.1060981977022303,87644
CZ,FI,0.14319876629735698,87612
CZ,FR,0.38153906847580726,87648
CZ,GB,0.26968780627609684,86373
CZ,GR,0.012655336114880913,87631
CZ,HR,-0.001756208185539916,52607
CZ,HU,0.44139654824825714,87643
CZ,IE,0.19718459675470873,87222
CZ,IT,0.21066851529286348,87617
CZ,LT,0.3286799468365372,86717
CZ,LU,0.4043442999956216,87491
CZ,LV,0.22065608591464644,87506
CZ,NL,0.3427209593453809,87667
CZ,NO,0.19043238090934114,87662
CZ,PL,0.6547400637916678,87667
CZ,PT,0.07596692233144157,87667
CZ,RO,0.13756238763676976,87545
CZ,RS,0.032371090098476205,26304
CZ,SE,0.2306203087115532,87570
CZ,SI,,0
CZ,SK,0.516890814237284,8783
DE,DK,0.6673294566280688,87668
DE,EE,0.26687314655717387,87362
DE,ES,0.10606046012032322,87649
DE,FI,0.1769694643809052,87617
DE,FR,0.5629286224916237,87653
DE,GB,0.5091047442968742,86378
DE,GR,-0.013497334048173647,87636
DE,HR,-0.038028545381356235,52608
DE,HU,0.1902848725463038,87648
DE,IE,0.3048487272655333,87227
DE,IT,0.16482509642433224,87622
DE,LT,0.39251636038934645,86719
DE,LU,0.620900573572226,87496
DE,LV,0.31493904157388264,87511
DE,NL,0.6795013503013574,87672
DE,NO,0.3248604017013174,87667
DE,PL,0.6673254140921997,87672
DE,PT,0.08886591909798135,87672
DE,RO,0.08713820999272867,87550
DE,RS,0.02480805582880312,26304
DE,SE,0.3367634781944407,87575
DE,SI,,0
DE,SK,0.2838132419765241,8783
DK,EE,0.2982501954085871,87358
DK,ES,0.0625810962544906,87645
DK,FI,0.17187469541881936,87613
DK,FR,0.2464235319838792,87649
DK,GB,0.376903644381747,86374
DK,GR,0.013607329502106224,87632
DK,HR,0.018704281292119658,52607
DK,HU,0.10500834282147913,87644
DK,IE,0.20370133098034265,87225
DK,IT,0.09139540886588676,87619
DK,LT,0.3926265369733836,86716
DK,LU,0.24301639813060957,87492
DK,LV,0.3634416635201622,87507
DK,NL,0.392660514077339,87668
DK,NO,0.4619839250965725,87663
DK,PL,0.5411689721183455,87668
DK,PT,0.042318683882611764,87668
DK,RO,0.06182854275108186,87547
DK,RS,0.028423491911365145,26304
DK,SE,0.5139799370345943,87572
DK,SI,,0
DK,SK,0.1795677694649798,8783
EE,ES,0.03964476376002802,87340
EE,FI,0.5061324479133699,87307
EE,FR,0.15020620096499857,87343
EE,GB,0.19251758387348755,86068
EE,GR,0.12001418738021366,87336
EE,HR,0.023809436403195883,52569
EE,HU,0.05694376859729841,87338
EE,IE,0.13776057898407035,86918
EE,IT,0.06959610871543552,87313
EE,LT,0.5749737691711989,86421
EE,LU,0.13715848728859356,87186
EE,LV,0.6204439278480819,87203
EE,NL,0.20077389172321683,87362
EE,NO,0.29368583868936154,87357
EE,PL,0.36830968209398646,87362
EE,PT,0.040182828281272204,87362
EE,RO,0.06609280346451127,87253
EE,RS,-0.024096366125568536,26270
EE,SE,0.546257344438143,87275
EE,SI,,0
EE,SK,0.08269950419100605,8749
ES,FI,0.041099536249533976,87594
ES,FR,0.35425642906769444,87630
ES,GB,0.11821093602499563,86355
ES,GR,0.10532350216909939,87613
ES,HR,0.1792125869594596,52602
ES,HU,0.145825659366045,87625
ES,IE,0.08704323047337655,87204
ES,IT,0.289180223042616,87599
ES,LT,0.03376956777606582,86696
ES,LU,0.17101492750335698,87473
ES,LV,0.00740069823681695,87488
ES,NL,0.08205980177638708,87649
ES,NO,0.12179025098074425,87644
ES,PL,0.039589680871526506,87649
ES,PT,0.6968442875385061,87649
ES,RO,0.10460688910567346,87527
ES,RS,0.2040470055237795,26304
ES,SE,0.010626578499846346,87552
ES,SI,,0
ES,SK,0.16932905190108674,8783
FI,FR,0.1267598342591204,87598
FI,GB,0.1698652395359316,86323
FI,GR,0.13901712538108293,87582
FI,HR,0.0754171385494284,52608
FI,HU,0.042290424775664893,87593
FI,IE,0.11379698969551703,87172
FI,IT,0.04814728589880526,87567
FI,LT,0.26731231455335985,86666
FI,LU,0.12872305345289434,87441
FI,LV,0.2705505560404459,87459
FI,NL,0.15553929132239486,87617
FI,NO,0.35633484634646817,87613
FI,PL,0.1942793188835137,87617
FI,PT,0.06647357039253658,87617
FI,RO,0.08556673595829184,87495
FI,RS,0.025412263001738822,26304
FI,SE,0.6152544227624743,87520
FI,SI,,0
FI,SK,0.04591687459111432,8783
FR,GB,0.4244039671570352,86359
FR,GR,0.004581660773341762,87617
FR,HR,0.03216547475709769,52602
FR,HU,0.14787907388646954,87629
FR,IE,0.3039139021189428,87209
FR,IT,0.21707149088515768,87603
FR,LT,0.19504370680796215,86701
FR,LU,0.7274463257595729,87477
FR,LV,0.15624451545040405,87494
FR,NL,0.522701274135542,87653
FR,NO,0.23642868590032917,87648
FR,PL,0.2863064429123946,87653
FR,PT,0.24263536769887414,87653
FR,RO,0.08574293033511449,87531
FR,RS,0.09262822119220147,26300
FR,SE,0.12635340478116644,87556
FR,SI,,0
FR,SK,0.19062365891864957,8783
GB,GR,0.054499195760425494,86342
GB,HR,0.040670066844095305,51375
GB,HU,0.07675031107740302,86354
GB,IE,0.606992026789453,85934
GB,IT,0.1133640340186912,86328
GB,LT,0.22025847325516076,85425
GB,LU,0.3292494527490016,86202
GB,LV,0.18087170336286093,86217
GB,NL,0.4964624629581949,86378
GB,NO,0.34018427792265465,86373
GB,PL,0.2912755936748883,86378
GB,PT,0.08956511941346207,86378
GB,RO,0.09241121270815053,86256
GB,RS,-0.0041014411368503,25113
GB,SE,0.2712503352785186,86281
GB,SI,,0
GB,SK,0.1694598699077823,8769
GR,HR,0.15527933669532631,52596
GR,HU,0.019114927756484375,87612
GR,IE,0.03264565376722009,87191
GR,IT,0.21635654272394642,87586
GR,LT,0.0454704937127029,86685
GR,LU,-0.025623460538241796,87460
GR,LV,0.06115711668709493,87476
GR,NL,0.03910898465734382,87636
GR,NO,0.12591542247826845,87631
GR,PL,0.018284472957308683,87636
GR,PT,0.06749336893342296,87636
GR,RO,0.19236881586087703,87516
GR,RS,0.09313367436620468,26298
GR,SE,0.1275959230767439,87539
GR,SI,,0
GR,SK,-0.017193943215579807,8781
HR,HU,0.25319089878346424,52585
HR,IE,0.025885444035210876,52176
HR,IT,0.5486892543809171,52608
HR,LT,-0.006825836730529934,52577
HR,LU,-0.013170604523680603,52492
HR,LV,-0.01482751853095289,52496
HR,NL,-0.02698735912924213,52608
HR,NO,0.13476923423733908,52607
HR,PL,-0.007532667673737011,52608
HR,PT,0.08230790785950094,52608
HR,RO,0.24847295690109464,52608
HR,RS,0.21781053172850046,26304
HR,SE,0.09894565855389952,52607
HR,SI,,0
HR,SK,0.0934356947530991,8783
HU,IE,0.06943280560720944,87203
HU,IT,0.33336535917576104,87598
HU,LT,0.10170134646767724,86695
HU,LU,0.11247009017212276,87472
HU,LV,0.038940969967359955,87487
HU,NL,0.04220488208089246,87648
HU,NO,0.06131329914347116,87643
HU,PL,0.28337496954785074,87648
HU,PT,0.06300661733498632,87648
HU,RO,0.17502604640346925,87526
HU,RS,0.21306642177252935,26304
HU,SE,0.07202222890429388,87552
HU,SI,,0
HU,SK,0.6152870162825845,8783
IE,IT,0.0863461083051258,87178
IE,LT,0.13792255104267936,86275
IE,LU,0.2253601872205187,87052
IE,LV,0.12256735321529641,87078
IE,NL,0.2607681903264501,87227
IE,NO,0.20163553130408074,87223
IE,PL,0.18607670078801086,87227
IE,PT,0.0648421005823441,87227
IE,RO,0.06928500469865277,87108
IE,RS,-0.006613338090928042,26009
IE,SE,0.15960257982877601,87131
IE,SI,,0
IE,SK,0.1411959561011316,8632
IT,LT,0.07314807402046189,86694
IT,LU,0.1564742959263292,87446
IT,LV,0.043126021280645015,87461
IT,NL,0.10219788240117351,87622
IT,NO,0.10879821529225446,87617
IT,PL,0.11486322232322588,87622
IT,PT,0.16646725698825937,87622
IT,RO,0.2999857962438054,87525
IT,RS,0.30080729485268043,26304
IT,SE,0.04970608413334789,87550
IT,SI,,0
IT,SK,0.2338357584725633,8783
LT,LU,0.22672259648562987,86543
LT,LV,0.6948353446671169,86562
LT,NL,0.24821416660097545,86719
LT,NO,0.24908361351824812,86714
LT,PL,0.6611577362336282,86719
LT,PT,0.04066953717352997,86719
LT,RO,0.07816346605472999,86686
LT,RS,0.04649747490526615,26303
LT,SE,0.467419998227876,86711
LT,SI,,0
LT,SK,0.18464213718319655,8782
LU,LV,0.1563916028111713,87336
LU,NL,0.5370439094748582,87496
LU,NO,0.1468696138308246,87492
LU,PL,0.31691531857806216,87496
LU,PT,0.13161207500058025,87496
LU,RO,0.07168103232105277,87375
LU,RS,0.08536093338475194,26304
LU,SE,0.11311086292595351,87399
LU,SI,,0
LU,SK,0.20035016829267382,8783
LV,NL,0.24199262748454328,87511
LV,NO,0.28408386479548303,87507
LV,PL,0.47181700168550017,87511
LV,PT,0.010215575662626633,87511
LV,RO,0.05010491166018892,87391
LV,RS,0.0003999026929685146,26228
LV,SE,0.45938307767209846,87414
LV,SI,,0
LV,SK,0.1019872231996905,8783
NL,NO,0.2791456897716741,87667
NL,PL,0.3360092722979894,87672
NL,PT,0.08227712404787335,87672
NL,RO,0.034733724198488636,87550
NL,RS,0.01118847793282811,26304
NL,SE,0.17066890082643346,87575
NL,SI,,0
NL,SK,0.1042117507865365,8783
NO,PL,0.27678139987247197,87667
NO,PT,0.12554914350539767,87667
NO,RO,0.12546644684705804,87548
NO,RS,0.023884338822040576,26303
NO,SE,0.569442748299705,87570
NO,SI,,0
NO,SK,0.09193012520096412,8783
PL,PT,0.04804902082945623,87672
PL,RO,0.11788578744555527,87550
PL,RS,0.07882731793476552,26304
PL,SE,0.4220398344013932,87575
PL,SI,,0
PL,SK,0.377657148317538,8783
PT,RO,0.060143786178352684,87550
PT,RS,0.14338168267319962,26304
PT,SE,0.03473579014607975,87575
PT,SI,,0
PT,SK,0.19594097888077056,8783
RO,RS,0.12407955956080197,26304
RO,SE,0.11648588794229663,87548
RO,SI,,0
RO,SK,0.12504500072237537,8783
RS,SE,-0.013776152735077072,26303
RS,SI,,0
RS,SK,0.4273960898347448,8783
SE,SI,,0
SE,SK,0.09625215530783036,8783
SI,SK,,0
